"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IUnidadRepository.cs", "C#", 9, 0, 0, 0, 0, 2, 11
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\Interfaces\IUsuarioRepository.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Core\PaginaGrupo.Core.csproj", "XML", 0, 0, 11, 0, 0, 4, 15
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AdjuntoConfiguration.cs", "C#", 21, 0, 0, 0, 0, 7, 28
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AsistenciaScoutConfiguration.cs", "C#", 29, 0, 0, 0, 0, 8, 37
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AutoresConfiguration.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AvisoPagoConfiguration.cs", "C#", 24, 0, 0, 0, 0, 7, 31
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\CategoriaConfiguration.cs", "C#", 15, 0, 0, 0, 0, 5, 20
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ComentarioConfiguration.cs", "C#", 25, 0, 0, 0, 0, 7, 32
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\FechaConfiguration.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\HistoricoUsuarioConfiguration.cs", "C#", 26, 0, 0, 0, 0, 6, 32
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroAutorConfiguration.cs", "C#", 20, 0, 0, 0, 0, 8, 28
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroCategoriaConfiguration.cs", "C#", 19, 0, 0, 0, 0, 7, 26
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroConfiguration.cs", "C#", 28, 0, 0, 0, 0, 5, 33
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\NombreScoutConfiguration.cs", "C#", 29, 0, 0, 0, 0, 8, 37
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\NoticiaConfiguration.cs", "C#", 39, 0, 0, 0, 0, 4, 43
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ProgresionConfiguration.cs", "C#", 30, 0, 0, 0, 0, 6, 36
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ProgresionScoutConfiguration.cs", "C#", 22, 0, 0, 0, 0, 7, 29
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RamaConfiguration.cs", "C#", 26, 0, 0, 0, 0, 6, 32
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RolesConfiguration.cs", "C#", 20, 0, 0, 0, 0, 6, 26
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RolesUsuarioConfiguration.cs", "C#", 21, 0, 0, 0, 0, 7, 28
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ScoutConfiguration.cs", "C#", 44, 0, 0, 0, 0, 6, 50
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\TipoAdjuntoConfiguration.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\TipoNombreConfiguration.cs", "C#", 16, 0, 0, 0, 0, 5, 21
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\UnidadConfiguration.cs", "C#", 26, 0, 0, 0, 0, 7, 33
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\UsuarioConfiguration.cs", "C#", 25, 0, 0, 0, 0, 6, 31
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\PaginaGrupoContext.cs", "C#", 64, 0, 0, 0, 1, 30, 95
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Filters\ValidationFilter.cs", "C#", 17, 0, 0, 0, 0, 5, 22
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Mappings\AutomapperProfile.cs", "C#", 64, 0, 0, 0, 0, 26, 90
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\PaginaGrupo.Infra.csproj", "XML", 0, 0, 21, 0, 0, 5, 26
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\AdjuntosRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\AsistenciaScoutRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\AutoresRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\AvisoPagoRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\CategoriaRepository.cs", "C#", 24, 0, 0, 0, 2, 9, 35
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\ComentarioRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\FechaRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\LibroAutorRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\LibroCategoriaRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\LibroRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\NombreScoutRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\NoticiasRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\ProgresionRepository.cs", "C#", 24, 0, 0, 0, 2, 9, 35
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\ProgresionScoutRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\RamaRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\RolesRepository.cs", "C#", 24, 0, 0, 0, 2, 9, 35
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\RolesUsuarioRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
"d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Repositories\ScoutRepository.cs", "C#", 30, 0, 0, 0, 3, 9, 42
