Date : 2023-10-12 00:00:57
Directory : d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo
Total : 153 files,  3032 codes, 71 comments, 1025 blanks, all 4128 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\AvisoPagoConfiguration.cs        | C#       |         24 |          0 |          7 |         31 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\CategoriaConfiguration.cs        | C#       |         15 |          0 |          5 |         20 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ComentarioConfiguration.cs       | C#       |         25 |          0 |          7 |         32 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\FechaConfiguration.cs            | C#       |         16 |          0 |          5 |         21 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\HistoricoUsuarioConfiguration.cs | C#       |         26 |          0 |          6 |         32 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroAutorConfiguration.cs       | C#       |         20 |          0 |          8 |         28 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroCategoriaConfiguration.cs   | C#       |         19 |          0 |          7 |         26 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\LibroConfiguration.cs            | C#       |         28 |          0 |          5 |         33 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\NombreScoutConfiguration.cs      | C#       |         29 |          0 |          8 |         37 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\NoticiaConfiguration.cs          | C#       |         39 |          0 |          4 |         43 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ProgresionConfiguration.cs       | C#       |         30 |          0 |          6 |         36 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ProgresionScoutConfiguration.cs  | C#       |         22 |          0 |          7 |         29 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RamaConfiguration.cs             | C#       |         26 |          0 |          6 |         32 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RolesConfiguration.cs            | C#       |         20 |          0 |          6 |         26 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\RolesUsuarioConfiguration.cs     | C#       |         21 |          0 |          7 |         28 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\ScoutConfiguration.cs            | C#       |         44 |          0 |          6 |         50 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\TipoAdjuntoConfiguration.cs      | C#       |         16 |          0 |          5 |         21 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\TipoNombreConfiguration.cs       | C#       |         16 |          0 |          5 |         21 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\UnidadConfiguration.cs           | C#       |         26 |          0 |          7 |         33 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\Configurations\UsuarioConfiguration.cs          | C#       |         25 |          0 |          6 |         31 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Data\PaginaGrupoContext.cs                           | C#       |         64 |          1 |         30 |         95 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Filters\ValidationFilter.cs                          | C#       |         17 |          0 |          5 |         22 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\Mappings\AutomapperProfile.cs                        | C#       |         64 |          0 |         26 |         90 |
| d:\cursos\4 cuatrimestre\Integracion de Sistemas\Curso online\PaginaGrupo\PaginaGrupo.Infra\PaginaGrupo.Infra.csproj                             | XML      |         21 |          0 |          5 |         26 |
